event_id,timestamp,station_id,tool_id,controller_id,model_code,program_id,fastening_point,batch_id,shift,torque_nm,angle_deg,current_a,cycle_time_s,retry_count,result,alarm_code,calibration_days_remaining,scenario_label
EVT-00001,2026-07-14T08:00:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P01,BATCH-DEMO-01,A,31.765,84.831,6.161,4.669,0,OK,,38,normal
EVT-00151,2026-07-14T08:01:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P02,BATCH-DEMO-01,A,41.14,89.748,6.249,4.773,0,OK,,38,normal
EVT-00002,2026-07-14T08:02:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P01,BATCH-DEMO-01,A,31.924,83.357,5.973,4.73,0,OK,,38,normal
EVT-00301,2026-07-14T08:02:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P03,BATCH-DEMO-01,A,48.354,93.176,6.434,4.875,0,OK,,45,normal
EVT-00152,2026-07-14T08:03:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P02,BATCH-DEMO-01,A,40.109,87.601,6.125,4.606,0,OK,,38,normal
EVT-00521,2026-07-14T08:03:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P04,BATCH-DEMO-01,A,55.901,106.296,6.397,4.886,0,OK,,38,normal
EVT-00003,2026-07-14T08:04:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P01,BATCH-DEMO-01,A,31.793,80.505,6.01,4.668,0,OK,,38,normal
EVT-00302,2026-07-14T08:04:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P03,BATCH-DEMO-01,A,48.267,96.977,6.27,4.826,0,OK,,45,normal
EVT-00671,2026-07-14T08:04:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P05,BATCH-DEMO-01,A,63.482,108.41,6.716,4.814,0,OK,,38,normal
EVT-00153,2026-07-14T08:05:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P02,BATCH-DEMO-01,A,40.253,89.501,6.158,4.699,0,OK,,38,normal
EVT-00522,2026-07-14T08:05:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P04,BATCH-DEMO-01,A,55.931,105.482,6.563,4.834,0,OK,,38,normal
EVT-00004,2026-07-14T08:06:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P01,BATCH-DEMO-01,A,32.194,81.127,6.071,4.45,0,OK,,38,normal
EVT-00303,2026-07-14T08:06:00,ST-FAS-07,TOOL-TG-07,CTRL-TG-07,DEMO-A,PGM-A-07,P03,BATCH-DEMO-01,A,48.012,98.571,6.351,4.592,0,OK,,45,normal
